UNIT_LINK,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
TNOCAk;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNOCAk;14,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNOCAk;14,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNOCAk;5,Minor,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNOCAk;5,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNOCAk;5,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNOch;10,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNOch;10,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNOch;10,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNOch;10,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNOch;13,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNOh;10,Major,Sedimentary,Carbonate,Limestone,,,Limestone, ,
TNOh;10,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Calcareous ,
TNOh;14,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Calcareous ,
TNOh;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone, ,
TNOj;14,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone, ,
TNOj;14,Major,Sedimentary,Clastic,Siltstone,,,Siltstone, ,
TNOj;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale, ,
TNOjb;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone, ,
TNOjb;14,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone, ,
TNOjb;14,Incidental,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
TNOk;10,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone, ,
TNOk;10,Minor,Sedimentary,Carbonate,Limestone,,,Limestone, ,
TNOk;14,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone, ,
TNOk;14,Minor,Sedimentary,Carbonate,Limestone,,,Limestone, ,
TNOl;10,Major,Sedimentary,Carbonate,Limestone,,,Limestone, ,
TNOl;10,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
TNOl;10,Incidental,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
