state,orig_label,map_sym1,map_sym2,UNIT_LINK,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
TN  ,Ccr,CAcr,CAcr;10,TNCAcr;10,10,Cumberland Plateau and Valley and Ridge,Copper Ridge Dolomite,Cambrian,"Copper Ridge Dolomite - Coarse, dark-gray, knotty dolomite, asphaltic in places, with much gray, medium-grained, well- bedded dolomite; abundant chert; cryptozoans typical. Thickness about 1,000 feet.",,East-Central sheet,TN001,dolostone (dolomite),chert,,TN001 TN002 ,
TN  ,Cmu,CAmu,CAmu;11,TNCAmu;11,11,Valley and Ridge and Unaka Mountains,Chilhowee Group; Murray Shale,Cambrian,"Chilhowee Group; Murray Shale - Shale, silty, sandy, dull-green to brown, micaceous. Thickness about 500 feet.",,East-Central sheet,TN001,shale,,,TN001 TN002 ,
TN  ,Kd,Kd,Kd;1,TNKd;1,1,Gulf Coastal Plain,Demopolis Formation,Cretaceous,"Demopolis Formation	 - Marl and calcareous clay, light-gray, fossiliferous, locally glauconitic and sandy. Merges northward into sands mapped as Kcc. Maximum thickness 180 feet.",,West sheet,TN001,clay or mud,,,TN001 TN002 ,
TN  ,Prm,PArm,PArm;12,TNPArm;12,12,"Cumberland Plateau, Valley and Ridge, and Unaka Mountains",Redoak Mountain Formation,Pennsylvanian,"Redoak Mountain Formation - Shale, sandstone, siltstone, and several important coals; from Pewee coal to Windrock coal. Thickness 340 to 420 feet.",,East sheet,TN001,shale,sandstone,siltstone; coal,TN001 TN002 ,
TN  ,pCss,pCAss,pCAss;15,TNpCAss;15,15,Unaka Mountains,Sandsuck Formation,Precambrian,"Sandsuck Formation - Olive-green and gray, argillaceous, micaceous shale with coarse feldspathic sandstone and quartz- pebble conglomerate. Thickness about 2,000 feet.",,East sheet,TN001,shale,sandstone,conglomerate,TN001 TN002 ,
TN  ,Sc,Sc,Sc;12,TNSc;12,12,"Cumberland Plateau, Valley and Ridge, and Unaka Mountains",Clinch Sandstone,Silurian,"Clinch Sandstone - Clean, white, well-sorted sandstone; locally gray siltstone and shale. Average thickness about 600 feet.",,East sheet,TN001,sandstone,siltstone,shale,TN001 TN002 ,
TN  ,WATR,water,water;0,TNwater;0,0,,water,Holocene,water,,,TN001,water,,,TN002 ,
TN  ,Cmu,CAmu,CAmu;14,TNCAmu;14,14,Southeastern Valley and Ridge and Unaka Mountains,Murray Shale,Cambrian,"Murray Shale	 - Shale, silty, sandy, dull-green to brown, micaceous. Thickness about 500 feet.",,East sheet,TN001,shale,,,TN001 TN002 ,
TN  ,Olb,Olb,Olb;6,TNOlb;6,6,Central Basin,Stones River Group; Lebanon Limestone,Ordovician,"Stones River Group; Lebanon Limestone - Thin-bedded, gray limestone with calcareous shale partings. Thickness 80 to 100 feet.",,West-Central sheet,TN001,limestone,shale,,TN001 TN002 ,
TN  ,Ccr,CAcr,CAcr;14,TNCAcr;14,14,Southeastern Valley and Ridge and Unaka Mountains,Copper Ridge Dolomite,Ordovician,"Copper Ridge Dolomite - Coarse, dark-gray, knotty dolomite, asphaltic in places; with much gray, medium-grained, well- bedded dolomite; abundant chert; cryptozoans typical. Thickness about 1,000 feet.",,East sheet,TN001,dolostone (dolomite),chert,,TN001 TN002 ,
