Site,OBJECTID,AreaSqKm,Water,Developed,Forested,Agricultural,Water_pct,Forested_pct,Dev_pct,Ag_pct,Canopy_pct,Impervious_pct,LULC Sum,_count,
 ,245291,0.3245,0,351,10,0,0,0.972299169,0.027700831,0,15.89196676,47.32409972,361,361,1
BSL1.1,,3.73889999,0,4554,398,19,0,0.916113458,0.080064373,0.003822169,27.68986323,38.09147365,4971,4972,1
BSL1.2,241710,0.728,0,1611,11,0,0,0.993218249,0.006781751,0,8.713933416,57.16029593,1622,1622,1
BSL1.3,,3.01089999,0,2943,387,19,0,0.878769782,0.115556883,0.005673335,36.87761194,28.85874835,3349,3350,1
BSL2.1,,2.9403,0,2865,387,19,0,0.875878936,0.118312443,0.005808621,37.60330073,28.57329064,3271,3272,1
BSL2.2,,1.508,0,1540,119,13,0,0.921052632,0.071172249,0.00777512,34.45188285,30.11046442,1672,1673,1
BSL2.3,,1.4323,0,1325,268,6,0,0.828642902,0.167604753,0.003752345,40.90056285,26.96497811,1599,1599,1
BSL3.1,,1.3993,0,1288,268,6,0,0.824583867,0.171574904,0.003841229,41.68245839,26.34314981,1562,1562,1
BSL3.2,85970,0.4812,0,418,114,2,0,0.782771536,0.213483146,0.003745318,41.55617978,28.7659176,534,534,1
BSL3.3,,0.9181,0,870,154,4,0,0.846303502,0.149805447,0.003891051,41.74805447,25.08463035,1028,1028,1
BSL4.1,,1.1835,0,1189,109,13,0,0.906941266,0.083142639,0.009916095,39.55868902,25.37409068,1311,1312,1
BSL4.2,81824,0.7774,0,783,72,5,0,0.910465116,0.08372093,0.005813953,37.32404181,26.80697674,860,861,1
BSL4.3,73872,0.4061,0,406,37,8,0,0.900221729,0.082039911,0.017738359,43.8248337,22.63858093,451,451,1
BSL5.1,,0.6953,0,632,141,3,0,0.81443299,0.181701031,0.003865979,48.75,18.33762887,776,776,1
BSL5.2,72273,0.23679999,0,185,75,3,0,0.703422053,0.285171103,0.011406844,51.71863118,17.58555133,263,263,1
BSL5.3,258680,0.45850001,0,447,66,0,0,0.871345029,0.128654971,0,47.22807018,18.72319688,513,513,1
BSL6,85970,0.4812,0,418,114,2,0,0.782771536,0.213483146,0.003745318,41.55617978,28.7659176,534,534,1
BSL7,73872,0.4061,0,406,37,8,0,0.900221729,0.082039911,0.017738359,43.8248337,22.63858093,451,451,1
BSL8,81824,0.7774,0,783,72,5,0,0.910465116,0.08372093,0.005813953,37.32404181,26.80697674,860,861,1
MCA1,,1.4214,0,894,649,38,0,0.565464896,0.410499684,0.024035421,66.1600253,8.678684377,1581,1581,1
MCA2,,1.32310001,0,784,649,38,0,0.532970768,0.441196465,0.025832767,68.97008838,7.158395649,1471,1471,1
MCA3.1,,0.5516,0,413,200,0,0,0.673735726,0.326264274,0,68.43556281,8.856443719,613,613,1
MCA3.2,91501,0.30539999,0,226,112,0,0,0.668639053,0.331360947,0,72.81065089,7.911242604,338,338,1
MCA3.3,89979,0.24620001,0,187,88,0,0,0.68,0.32,0,63.05818182,10.01818182,275,275,1
MCA4,,0.77150001,0,371,449,38,0,0.432400932,0.523310023,0.044289044,69.35198135,5.945221445,858,858,1
MTN1.1,,1.38310001,0,991,512,32,0,0.645602606,0.333550489,0.020846906,62.66514658,11.28534202,1535,1535,1
MTN1.2,,0.96710002,0,614,436,26,0,0.57063197,0.405204461,0.024163569,63.30204461,10.64405204,1076,1076,1
MTN1.3,93594,0.41599999,0,377,76,6,0,0.821350763,0.165577342,0.013071895,61.17211329,12.78867102,459,459,1
MTN2,,0.804500015,0,614,436,26,0,0.57063197,0.405204461,0.024163569,63.30204461,10.64405204,1076,1076,1
MTN3,,0.64190001,0,387,331,3,0,0.536754508,0.459084605,0.004160888,69.38280166,6.962552011,721,721,1
MTN4,90316,0.38470001,0,222,207,1,0,0.51627907,0.481395349,0.002325581,68.44883721,6.648837209,430,430,1
NBO1,89458,0.83390001,388,18,389,138,0.415862808,0.019292605,0.41693462,0.147909968,75.15434084,0.019292605,933,933,1
NBO2,,1.00730001,18,12,1051,45,0.01598579,0.010657194,0.93339254,0.039964476,87.40142096,0.010657194,1126,1126,1
NBO3,100959,0.49035001,13,9,1030,45,0.011850501,0.008204193,0.938924339,0.041020966,87.61440292,0.008204193,1097,1097,1
NBO4,102476,0.380849995,14,71,526,231,0.016627078,0.08432304,0.624703088,0.274346793,60.91092637,1.040380048,842,842,1
NBO5,,1.351,32,90,1335,39,0.021390374,0.060160428,0.892379679,0.026069519,86.59558824,0.117647059,1496,1496,1
NBO6,100121,0.56529997,6,53,575,2,0.009433962,0.083333333,0.90408805,0.003144654,87.94968553,1.023584906,636,636,1
WBK1,,1.14400002,13,1106,142,0,0.010309278,0.877081681,0.11260904,0,40.41792228,24.69072165,1261,1261,1
WBK2,,1.14400002,13,1106,142,0,0.010309278,0.877081681,0.11260904,0,40.41792228,24.69072165,1261,1261,1
WBK3,93685,0.3649,0,314,90,0,0,0.777227723,0.222772277,0,54.53465347,18.23267327,404,404,1
,238341,0.2228,0,238,13,1,0,0.944444444,0.051587302,0.003968254,20.18650794,45.86111111,252,252,1
,94699,0.033,0,37,0,0,0,1,0,0,7.891891892,53.21621622,37,37,1
,257460,0.07059999,0,78,0,0,0,1,0,0,6.435897436,40.83333333,78,78,1
,94989,0.1293,0,125,18,0,0,0.874125874,0.125874126,0,44.18881119,21.05594406,143,143,1
,245547,0.64980002,13,667,34,0,0.018207283,0.934173669,0.047619048,0,31.67507003,29.07282913,714,714,1
,90546,0.26360001,0,97,179,17,0,0.33105802,0.610921502,0.058020478,73.98634812,3.706484642,293,293,1
,91132,0.318,0,122,213,19,0,0.344632768,0.601694915,0.053672316,73.86723164,3.550847458,354,354,1
,238228,0.1899,0,152,57,2,0,0.720379147,0.27014218,0.009478673,55.34123223,13.07109005,211,211,1
,238322,0.0449,0,49,0,0,0,1,0,0,30.46938776,27.85714286,49,49,1
,90467,0.04409999,0,49,0,0,0,1,0,0,23.7755102,32.16326531,49,49,1
,90031,0.0093,0,12,0,0,0,1,0,0,40.5,20.83333333,12,12,1
,90620,0.2572,0,165,124,2,0,0.567010309,0.426116838,0.006872852,70.7628866,7.426116838,291,291,1
,257888,0.32520001,0,227,105,23,0,0.63943662,0.295774648,0.064788732,50.95211268,18.12112676,355,355,1
,102476,0.76169999,14,71,526,231,0.016627078,0.08432304,0.624703088,0.274346793,60.91092637,1.040380048,842,842,1
,98890,0.45960002,21,21,465,0,0.041420118,0.041420118,0.917159763,0,88.86390533,0.041420118,507,507,1
,99669,0.34419999,0,38,340,0,0,0.100529101,0.899470899,0,89.94179894,0.111111111,378,378,1
,99751,0.161,0,0,175,0,0,0,1,0,91.81142857,0,175,175,1
,242844,0.38619999,11,31,355,39,0.025229358,0.071100917,0.814220183,0.089449541,78.96330275,0.259174312,436,436,1
,100959,0.98070002,13,9,1030,45,0.011850501,0.008204193,0.938924339,0.041020966,87.61440292,0.008204193,1097,1097,1
,238591,0.02659999,5,3,21,0,0.172413793,0.103448276,0.724137931,0,79.34482759,0.103448276,29,29,1
