Sample_ID,Survey,Synoptic,Date,Time,DateTime,Sampler,Site,Theme,Flow_presence,Flow_state,Depth_CM,pH_UNIT,EC_US_CM,Temp_DEG_C,DO_PPM,DO_PCT,Canopy_PCT,DOC_PPM,TC_PPM,DIC_PPM,Cl_PPM,Br_PPM,NO3_PPM,PO4_PPM,SO4_PPM,NH4_PPB,NO3_PPB,SRP_PPB,TP_PPB,MnOES_PPM,AlOES_PPM,FeOES_PPM,CaOES_PPM,MgOES_PPM,SiOES_PPM,POES_PPM,NaOES_PPM,KOES_PPM,Be_PPB,Na_PPB,Al_PPB,Si_PPB,K_PPB,V_PPB,Cr_PPB,Mn_PPB,Fe_PPB,Co_PPB,Ni_PPB,Cu_PPB,Zn_PPB,As_PPB,Se_PPB,Sr_PPB,Y_PPB,Mo_PPB,Ag_PPB,Cd_PPB,Sn_PPB,Sb_PPB,Ba_PPB,La_PPB,Pr_PPB,Ce_PPB,Nd_PPB,Sm_PPB,Eu_PPB,Tb_PPB,Gd_PPB,Dy_PPB,Ho_PPB,Er_PPB,Tm_PPB,Yb_PPB,Lu_PPB,Tl_PPB,Pb_PPB,Th_PPB,U_PPB,Ti_PPB,W_PPB,Ca_PPB,Mg_PPB
WaDE_1,April_2023,Y,4/12/23,09:30:00,4/12/23 09:30,Herndon,BSL1.1,1,Y,F,NA,8.12,345.3,13.34,ND,ND,ND,0.86,ND,ND,7.31,<DL,5.3,<DL,7.44,5.846,1357.14,19.197,41.965,<DL,<DL,<DL,57.64,14,ND,<DL,4.828,<DL,0.010331276,4427.144274,1.826018236,3439.541625,1057.512484,0.267031399,0.291800321,6.451017958,6.990231302,0.029916651,0.335137232,0.311135496,3.667400816,0.140287605,0.258951461,67.26305391,0.031865413,0.300388783,<DL,0.007777082,<DL,0.019295439,40.91835587,0.01243079,0.003281815,0.015662509,0.013989744,0.015501333,0.009318616,0.000840706,0.00424809,0.004556794,0.001220355,0.003782019,0.00095144,0.005113702,0.001481136,0.008822199,0.035933489,0.000933283,0.309787748,ND,ND,57640,14000
WaDE_2,April_2023,Y,4/12/23,09:50:00,4/12/23 09:50,Herndon,BSL2.1,1,Y,F,NA,7.82,326.8,13.94,ND,ND,ND,0.78,ND,ND,5.7,<DL,6.23,<DL,5.25,6.002,1640.25,23.732,80.612,<DL,<DL,<DL,51.72,14.89,ND,<DL,<DL,<DL,0.011114516,4474.222205,2.20629345,4706.918103,1040.818677,0.26418954,0.248350908,9.656350827,7.056378686,0.031722772,0.368034084,0.204853053,4.18351997,0.119857249,0.226274522,54.72888138,0.04386662,0.13471701,<DL,0.008596378,<DL,<DL,44.69634937,0.016742785,0.004266881,0.007210886,0.02071096,0.016255059,0.009403224,0.000281005,0.004485628,0.004498652,0.000843561,0.003495743,0.000238063,0.004425564,0.000528211,0.008405266,0.030645034,<DL,0.260231846,ND,ND,51720,14890
WaDE_3,April_2023,Y,4/12/23,10:10:00,4/12/23 10:10,Herndon,BSL2.2,1,Y,F,NA,7.78,426.1,14.5,ND,ND,ND,1.61,ND,ND,9.26,<DL,3.18,<DL,12.69,8.447,529.318,20.869,56.952,<DL,<DL,<DL,81.33,9.47,ND,<DL,6.371,<DL,<DL,6615.551777,6.548760872,2533.220028,1248.041035,0.29426546,0.199947839,23.86558577,9.922980647,0.050524496,0.314560966,0.471144864,4.188545486,0.214280495,0.216364333,106.2190905,0.028796626,0.578662916,<DL,0.005042676,<DL,0.080023269,29.80371473,0.01510089,0.003398948,0.019449326,0.016503288,0.012384428,0.00627297,<DL,0.004903509,0.003503428,0.000282481,0.003170879,<DL,0.003935731,0.000302736,0.006845995,0.028137212,<DL,0.343101393,ND,ND,81330,9470
WaDE_4,April_2023,Y,4/12/23,10:25:00,4/12/23 10:25,Herndon,Bissell_D,1,Y,F,NA,7.59,427.2,13.85,ND,ND,ND,1.48,ND,ND,9.7,<DL,2.78,<DL,12.47,6.871,439.664,28.606,57.986,<DL,<DL,<DL,79.44,9.31,ND,<DL,6.687,<DL,<DL,7092.033186,5.98891654,2271.630233,1229.40832,0.284819484,0.189481341,16.47733765,13.12232899,0.051943381,0.327518271,0.510385025,5.576018307,0.236280441,0.189881464,105.343534,0.026756373,0.358219208,<DL,0.004271424,<DL,0.066203185,29.44251739,0.013852073,0.003292435,0.01585414,0.015041187,0.012739148,0.006147748,0.00013495,0.004390066,0.003583936,0.000290983,0.00243638,<DL,0.003049369,0.000252256,0.005698273,0.057410718,<DL,0.30621927,ND,ND,79440,9310
WaDE_5,April_2023,Y,4/12/23,10:45:00,4/12/23 10:45,Herndon,BSL3.1,1,Y,F,NA,7.45,314.9,15.21,ND,ND,ND,0.5,ND,ND,5.35,<DL,6.73,<DL,4.39,3.961,1853.07,29.91,51.497,<DL,<DL,<DL,48.19,15.55,ND,<DL,<DL,<DL,0.014177203,3307.466839,5.148115951,5394.836946,1023.466964,0.244132443,0.28724789,9.354158374,22.25972203,0.024785929,0.386046243,0.149234836,3.513088478,0.103712306,0.198457837,49.97584347,0.076987581,0.112399485,<DL,0.013311582,<DL,<DL,41.33678421,0.03624622,0.009448414,0.005685769,0.045283237,0.020721841,0.010043363,0.000864767,0.009026426,0.008999802,0.001569966,0.006182052,0.000471683,0.006478767,0.000875128,0.008229835,0.024901099,<DL,0.229194915,ND,ND,48190,15550
WaDE_6,April_2023,Y,4/12/23,10:55:00,4/12/23 10:55,Herndon,BSL3.3,1,Y,F,NA,7.35,301.9,15.18,ND,ND,ND,0.41,ND,ND,5.02,<DL,6.74,<DL,3.79,2.766,1894.2,22.896,50.283,<DL,<DL,<DL,43.24,15.71,ND,<DL,<DL,<DL,0.018743077,3111.490222,4.580578995,5592.252655,1133.710606,0.23377265,0.314919569,1.53059264,4.578182566,0.023639491,0.423623838,0.174986389,3.732806016,0.08634638,0.215875905,42.59442676,0.0938368,0.093813368,<DL,0.017854132,<DL,<DL,46.45380895,0.041727668,0.011740669,0.005864892,0.052519206,0.022273471,0.011178124,0.001178196,0.0108676,0.0105222,0.001793387,0.007432995,0.000523981,0.006514722,0.000837441,0.008332877,0.017977624,<DL,0.220748294,ND,ND,43240,15710
WaDE_7,April_2023,Y,4/12/23,11:00:00,4/12/23 11:00,Herndon,BSL3.2,1,Y,F,NA,7.65,349.8,15.45,ND,ND,ND,0.64,ND,ND,6.16,<DL,6.65,<DL,6.15,3.881,1861.84,21.53,47.551,<DL,<DL,<DL,57.23,14.82,ND,<DL,<DL,<DL,0.00343889,3825.869741,1.956220935,5355.491248,831.2166404,0.297058891,0.221757298,4.450703255,7.387054362,0.025874615,0.306481619,0.184962418,2.103652763,0.11524203,0.328634863,67.94843728,0.030767594,0.100714064,<DL,0.005044861,<DL,<DL,28.86250622,0.012181865,0.002487487,0.012514989,0.013993521,0.011136269,0.006308962,0.00013089,0.002852799,0.003679349,0.000395064,0.002817078,8.49461E-05,0.00425891,0.000431872,0.005881698,0.033354647,<DL,0.264207663,ND,ND,57230,14820
WaDE_8,April_2023,Y,4/12/23,11:30:00,4/12/23 11:30,Herndon,BSL4.1,1,N,P,NA,7,674.2,12.68,ND,ND,ND,2.02,ND,ND,18.43,<DL,<DL,<DL,18.24,6.714,8.498,19.168,61.05,<DL,<DL,<DL,121.68,17.85,ND,<DL,11.837,1.331,0.004723793,12444.65968,2.671178022,3664.230581,1784.874354,0.181058441,0.082514883,257.2461315,43.96429198,0.469752978,0.618901419,0.536072137,6.194598839,0.317605529,0.59124044,156.774465,0.065914971,0.126440817,<DL,0.008070967,0.016515602,0.025102183,46.22056116,0.030853916,0.006317541,0.054202811,0.033177744,0.021086816,0.009847816,<DL,0.006879156,0.005426666,0.000523294,0.004107328,<DL,0.00339072,0.000149828,0.00908169,0.023224893,<DL,0.503332543,ND,ND,121680,17850
WaDE_9,April_2023,Y,4/12/23,12:12:00,4/12/23 12:12,Herndon,Lawton_AF,1,Y,F,NA,7.62,428.2,14.35,ND,ND,ND,1.41,ND,ND,4.87,<DL,3.18,<DL,13.51,40.242,545.784,19.009,43.769,<DL,<DL,<DL,91.71,6.36,ND,<DL,<DL,<DL,<DL,4068.065747,3.88735876,2825.886463,1130.444667,0.260322383,0.086758545,75.11583467,15.9434377,0.163538843,0.52221369,0.559414314,2.006747063,0.277121248,0.375004644,112.6210086,0.027069305,0.338644111,<DL,0.003598865,0.01144452,0.014672196,24.19564017,0.007421925,0.000725175,0.016036562,0.007638138,0.008388942,0.004705472,<DL,0.002507422,0.003485949,<DL,0.004263666,<DL,0.008404993,0.001034823,0.007089928,<DL,<DL,0.359200036,ND,ND,91710,6360
WaDE_10,April_2023,Y,4/12/23,12:47:00,4/12/23 12:47,Herndon,MCA3.3,1,Y,F,NA,6.46,79.59,13.74,ND,ND,ND,0.69,ND,ND,4.84,<DL,3,<DL,7.28,3.798,3669.65,6.636,47.255,<DL,<DL,<DL,9.72,3,ND,<DL,<DL,<DL,0.012089754,3315.387548,39.19000817,2829.969539,1093.155441,0.053720867,0.081878577,7.661909856,3.701749287,0.044137448,0.444152075,11.68886155,8.588108334,0.053134185,0.074870902,25.92045847,0.052994929,0.016483864,<DL,0.005978909,<DL,<DL,28.09583284,0.046038865,0.015174098,0.047202027,0.068325388,0.021156562,0.007778607,0.001351165,0.01453063,0.009401489,0.001368938,0.005123216,0.000238408,0.004663639,0.000300498,0.006321309,0.019696446,<DL,0.008122336,ND,ND,9720,3000
