"site_name","sampleID","sample_date","sample_time","sampled_by","flow","flow_status","medium","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"depth",12.9,"CM","PHYS","Other",-10,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"pH",8.12,"UNITS","CHEM","Sonde",-10,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"SpC",345.3,"uS/CM","CHEM","Sonde",-10,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"temp",13.34,"C","CHEM","Sonde",-10,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"DOC",0.8594,"MG/L","C","TOC-L",0.1,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Cl",7.3058,"MG/L","ANION","IC",0.1,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"SO4",7.4388,"MG/L","ANION","IC",0.1,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"NH4",5.846,"UG/L","NUTRIENT","NUTRIENT",0.091,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"SRP",19.197,"UG/L","NUTRIENT","NUTRIENT",0.019,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"NO3",1357.14,"UG/L","NUTRIENT","NUTRIENT",0.15,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"TP",41.965,"UG/L","NUTRIENT","NUTRIENT",0.018,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Mn_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Fe_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"P",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Ca",57.64,"MG/L","CATION","ICP-OES",0.5,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Mg",14,"MG/L","CATION","ICP-OES",0.5,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Be",0.008,"UG/L","TE","ICP-MS",0.016,"<"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Na",4427,"UG/L","CATION","ICP-MS",27.4,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Al",1.8,"UG/L","TE","ICP-MS",0.7,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Si",3440,"UG/L","TE","ICP-MS",30.7,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"K",1058,"UG/L","CATION","ICP-MS",18.8,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"V",0.267,"UG/L","TE","ICP-MS",0.018,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Cr",0.281,"UG/L","TE","ICP-MS",0.042,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Mn",6,"UG/L","TE","ICP-MS",0.04,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Fe",3,"UG/L","TE","ICP-MS",0.66,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Co",0.03,"UG/L","TE","ICP-MS",0.002,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Ni",0.176,"UG/L","TE","ICP-MS",0.352,"<"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Cu",0.311,"UG/L","TE","ICP-MS",0.039,"NONE"
"BSL1.1","WaDE_1",2023-04-12,9H 30M 0S,"Herndon","Y","F","WS",2023,102,"Zn",2.132,"UG/L","TE","ICP-MS",0.774,"NONE"
