"site_name","sampleID","sample_date","sample_time","sampled_by","flow","flow_status","medium","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"filter",NA,NA,NA,NA,NA,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"depth",NA,"CM","PHYS","Other",-10,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"pH",NA,"UNITS","CHEM","Sonde",-10,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"SpC",NA,"uS/CM","CHEM","Sonde",-10,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"temp",NA,"C","CHEM","Sonde",-10,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"DO",NA,"MG/L","CHEM","Sonde",0,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"DO_sat",NA,"PERCENT","CHEM","Sonde",0,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"canopy",NA,"PERCENT","PHYS","Other",0,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"DOC",NA,"MG/L","C","TOC-L",0.1,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"BSL4.3",NA,2023-08-15,11H 25M 0S,"Herndon","N","D",NA,2023,227,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
