"site_name","sampleID","sample_date","sample_time","sampled_by","flow","flow_status","medium","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"depth",NA,"CM","PHYS","Other",-10,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"pH",NA,"UNITS","CHEM","Sonde",-10,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"SpC",NA,"uS/CM","CHEM","Sonde",-10,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"temp",NA,"C","CHEM","Sonde",-10,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"DOC",NA,"MG/L","C","TOC-L",0.1,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"TC",NA,"MG/L","C","TOC-L",0.1,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"TP",NA,"UG/L","NUTRIENT","NUTRIENT",0.018,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Mn_OES",NA,"MG/L","TE","ICP-OES",0.5,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Fe_OES",NA,"MG/L","TE","ICP-OES",0.5,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"P",NA,"MG/L","TE","ICP-OES",0.5,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Ca",NA,"MG/L","CATION","ICP-OES",0.5,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Mg",NA,"MG/L","CATION","ICP-OES",0.5,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Be",NA,"UG/L","TE","ICP-MS",0.016,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Na",NA,"UG/L","CATION","ICP-MS",27.4,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Al",NA,"UG/L","TE","ICP-MS",0.7,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Si",NA,"UG/L","TE","ICP-MS",30.7,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"K",NA,"UG/L","CATION","ICP-MS",18.8,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Ti",NA,"UG/L","TE","ICP-MS",0.04,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"V",NA,"UG/L","TE","ICP-MS",0.018,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Cr",NA,"UG/L","TE","ICP-MS",0.042,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Mn",NA,"UG/L","TE","ICP-MS",0.04,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Fe",NA,"UG/L","TE","ICP-MS",0.66,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Co",NA,"UG/L","TE","ICP-MS",0.002,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Ni",NA,"UG/L","TE","ICP-MS",0.352,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Cu",NA,"UG/L","TE","ICP-MS",0.039,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"Zn",NA,"UG/L","TE","ICP-MS",0.774,NA
"BSL4.3",NA,2023-06-23,NA,"Herndon","N","D","WS",2023,174,"As",NA,"UG/L","TE","ICP-MS",0.007,NA
