site_name,date,sampled_by,flow,flow_status,STIC_ID
NBO1,9/26/23,Berens,N,D,21741131
NBO2,9/26/23,Berens,Y,F,Flag
NBO3,9/26/23,Berens,N,P,21741115
NBO4,9/26/23,Berens,N,D,21741145
NBO6,9/26/23,Berens,N,D,NA
NBO5,9/26/23,Berens,N,D,21741132
MTN1.1,9/26/23,Berens,N,D,Flag
MTN1.2,9/26/23,Berens,N,D,Flag
MTN1.3,9/26/23,Berens,N,D,Flag
MTN4,9/26/23,Berens,Y,F,Flag
MTN3,9/26/23,Berens,N,D,Flag
MTN2,9/26/23,Berens,N,D,Flag
MCA1,9/26/23,Berens,Y,F,Flag
MCA2,9/26/23,Berens,N,D,21741118
MCA3.1,9/26/23,Berens,N,P,Flag
MCA3.3,9/26/23,Berens,N,D,21741113
MCA3.2,9/26/23,Berens,N,D,Flag
MCA4,9/26/23,Berens,Y,F,Flag
WBK3,9/26/23,Berens,Y,F,21741143
WBK2,9/26/23,Berens,N,P,Flag
WBK1,9/26/23,Berens,Y,F,Flag
BSL5.3,9/26/23,Berens,N,D,Flag
BSL5.2,9/26/23,Berens,N,D,Flag
BSL6,9/26/23,Berens,N,D,21741130
BSL7,9/26/23,Berens,N,D,Flag
BSL8,9/26/23,Berens,N,D,Flag
BSL4.1,9/26/23,Berens,N,D,21741128
BSL4.2,9/26/23,Berens,N,D,21741152
BSL4.3,9/26/23,Berens,N,D,21741127
BSL3.1,9/26/23,Berens,Y,F,Flag
BSL3.3,9/26/23,Berens,Y,F,Flag
BSL3.2,9/26/23,Berens,Y,F,Flag
BSL5.1,9/26/23,Berens,N,D,Flag
BSL2.1,9/26/23,Berens,Y,F,Flag
BSL2.2,9/26/23,Berens,Y,F,Flag
BSL2.3,9/26/23,Berens,Y,F,Flag
BSL1.3,9/26/23,Berens,Y,F,Flag
BSL1.2,9/26/23,Berens,Y,F,Flag
BSL1.1,9/26/23,Berens,Y,F,Flag
