site_name,sampleID,sample_date,sample_time,sampled_by,flow,flow_status,medium,depth,pH,SpC,temp,DOC,TC,Cl,SO4,NH4,SRP,NO3,TP,Mn_OES,Fe_OES,P,Ca,Mg,Be,Na,Al,Si,K,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U
BSL1.1,WaDE_1,4/12/23,09:30,Herndon,Y,F,WS,12.9,8.12,345.3,13.34,0.8594,,7.3058,7.4388,5.846,19.197,1357.14,41.965,-0.378,-0.215,-0.944,57.64,14,0.01,4427,1.8,3440,1058,0.267,0.281,6,3,0.03,0.335,0.311,2.132,0.14,0.259,67.263,0.032,0.301,0,0.008,0.004,0.019,43.65,0.012,0.003,0.016,0.014,0.004,0.001,0.004,0.005,0.001,0.004,0.001,0.005,0.001,0.009,0.036,0.001,0.31
BSL2.1,WaDE_2,4/12/23,09:50,Herndon,Y,F,WS,17,7.82,326.8,13.94,0.7766,,5.6994,5.254,6.002,23.732,1640.25,80.612,-0.376,-0.227,-0.956,51.72,14.89,0.011,4474,2.2,4707,1041,0.264,0.274,10,3,0.032,0.368,0.205,2.473,0.12,0.226,54.729,0.044,0.133,-0.004,0.01,0.003,-0.004,48.993,0.017,0.004,0.007,0.021,0.004,0,0.004,0.005,0.001,0.003,0,0.005,0.001,0.008,0.031,0,0.26
BSL2.2,WaDE_3,4/12/23,10:10,Herndon,Y,F,WS,31,7.78,426.1,14.5,1.608,,9.2583,12.6869,8.447,20.869,529.318,56.952,-0.356,-0.241,-0.891,81.33,9.47,0.002,6616,6.5,2533,1248,0.294,0.184,24,4,0.051,0.315,0.471,3.092,0.214,0.216,106.219,0.029,0.575,-0.005,0.005,0.004,0.08,26.996,0.015,0.003,0.019,0.017,0.003,0,0.005,0.003,0,0.003,0,0.004,0,0.007,0.028,0,0.343
Bissell_D,WaDE_4,4/12/23,10:25,Herndon,Y,F,WS,2.5,7.59,427.2,13.85,1.48,,9.7036,12.4737,6.871,28.606,439.664,57.986,-0.371,-0.226,-0.927,79.44,9.31,0.003,7092,6,2272,1229,0.285,0.188,16,7,0.052,0.328,0.51,4.357,0.236,0.19,105.344,0.027,0.367,-0.005,0.005,0.003,0.066,26.741,0.014,0.003,0.016,0.015,0.003,0,0.004,0.004,0,0.002,0,0.002,0,0.006,0.057,0,0.306
BSL3.1,WaDE_5,4/12/23,10:45,Herndon,Y,F,WS,9.1,7.45,314.9,15.21,0.495,,5.3524,4.3912,3.961,29.91,1853.07,51.497,-0.371,-0.18,-0.947,48.19,15.55,0.014,3307,5.1,5395,1023,0.244,0.292,9,18,0.025,0.386,0.149,1.739,0.104,0.198,49.976,0.077,0.114,-0.005,0.015,0.002,-0.015,46.057,0.036,0.009,0.006,0.045,0.007,0.001,0.009,0.009,0.002,0.006,0,0.007,0.001,0.008,0.025,0,0.229
BSL3.3,WaDE_6,4/12/23,10:55,Herndon,Y,F,WS,10.5,7.35,301.9,15.18,0.4118,,5.0223,3.7949,2.766,22.896,1894.2,50.283,-0.387,-0.238,-0.992,43.24,15.71,0.019,3111,4.6,5592,1134,0.234,0.3,2,2,0.024,0.424,0.175,1.775,0.086,0.216,42.594,0.094,0.094,-0.003,0.017,0.002,-0.018,51.939,0.042,0.012,0.006,0.053,0.008,0.001,0.011,0.01,0.002,0.007,0.001,0.007,0.001,0.008,0.018,0,0.221
BSL3.2,WaDE_7,4/12/23,11:00,Herndon,Y,F,WS,9.4,7.65,349.8,15.45,0.6363,,6.1575,6.1518,3.881,21.53,1861.84,47.551,-0.381,-0.248,-0.976,57.23,14.82,0.003,3826,2,5355,831,0.297,0.243,4,3,0.026,0.306,0.185,1.034,0.115,0.329,67.948,0.031,0.098,-0.005,0.005,0.001,-0.001,26.182,0.012,0.002,0.013,0.014,0.002,0,0.003,0.003,0,0.003,0,0.004,0,0.006,0.033,0,0.264
BSL4.1,WaDE_8,4/12/23,11:30,Herndon,N,P,WS,NA,7,674.2,12.68,2.024,,18.4334,18.2351,6.714,19.168,8.498,61.05,-0.085,-0.2,-0.945,121.684,17.85,0.005,12445,2.7,3664,1785,0.181,0.186,257,32,0.47,0.619,0.536,4.394,0.318,0.591,156.774,0.066,0.118,-0.013,0.008,0.017,0.025,41.769,0.031,0.006,0.054,0.033,0.004,0,0.007,0.007,0.001,0.004,0,0.004,0,0.009,0.023,0,0.503
Lawton_AF,WaDE_9,4/12/23,12:12,Herndon,Y,F,WS,10,7.62,428.2,14.35,1.406,,4.8662,13.5111,40.242,19.009,545.784,43.769,-0.303,-0.23,-0.919,91.706,6.358,0.002,4068,3.9,2826,1130,0.26,0.119,75,9,0.164,0.522,0.559,0.944,0.277,0.375,112.621,0.027,0.343,-0.009,0.002,0.011,0.015,21.861,0.007,0.001,0.016,0.008,0.001,-0.001,0.003,0.003,0,0.004,0,0.008,0.001,0.007,0,-0.001,0.359
MCA3.3,WaDE_10,4/12/23,12:47,Herndon,Y,F,WS,7.5,6.46,79.59,13.74,0.6924,,4.8357,7.2763,3.798,6.636,3669.65,47.255,-0.38,-0.228,-0.939,9.716,3.004,0.012,3315,39.2,2830,1093,0.054,0.082,8,3,0.044,0.444,11.689,7.594,0.053,0.075,25.92,0.053,0.015,-0.004,0.006,0.002,-0.021,25.171,0.046,0.015,0.047,0.068,0.014,0.001,0.015,0.009,0.001,0.005,0,0.005,0,0.006,0.02,0,0.008
MCA3.1,WaDE_11,4/12/23,13:13,Herndon,Y,F,WS,12.5,7.29,191.1,15,0.7631,,5.2599,5.3987,2.252,18.107,363.812,27.811,-0.383,-0.223,-0.962,26.603,8.74,0.005,2934,1.7,3533,825,0.113,0.076,5,3,0.047,0.373,0.117,0.792,0.063,0.074,33.88,0.028,0.032,0.021,0.004,0.001,-0.018,17.266,0.022,0.007,0.024,0.031,0.006,0.001,0.006,0.004,0.001,0.003,0,0.003,0.001,0.005,0.006,0,0.11
