site_name,sample_id,sample_date,sample_time,sampled_by,flow,flow_status,medium,depth,SpC,pH,temp,DOC,TC,Mg,Ca,Cl,NO3,PO4,SO4,Be,Na,Al,Si,K ,Ti,V ,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y ,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Gd_158,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U 
BSL4.3,NA,6/23/23,NA,Herndon,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSL8,NA,6/23/23,NA,Herndon,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSL7,NA,6/23/23,NA,Herndon,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSL6,NA,6/23/23,NA,Herndon,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSL5.2,NA,6/23/23,NA,Herndon,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSL5.3,NA,6/23/23,NA,Herndon,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTN3,NA,6/23/23,NA,Berens,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTN1.2,NA,6/23/23,NA,Berens,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MTN1.3,NA,6/23/23,NA,Berens,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBO6,NA,6/23/23,NA,Brooks,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBO4,NA,6/23/23,NA,Brooks,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NBO1,NA,6/23/23,NA,Brooks,N,D,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFK20,NA,6/23/23,NA,Berens,Y,F,WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFK23.5,WaDE_108,6/23/23,14:00,Berens,Y,F,WS,NA,481.7,9.21,15.54,1.773,37.32116857,66.57383586,16.13429687,19.7130394,2.705221543,-0.076649746,43.49138035,0.015,21998.675,39.89,3204.196,3414.269,0.189,0.886,0.496,5.113,8.487,0.057,0.291,2.202,9.455,0.323,0.87,186.37,0.004,16.329,0.003,0.099,0.002,0.243,74.764,0.001,0,0.001,0.002,0,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.014,0.032,0,7.731785314
EFK18.2,WaDE_122,6/23/23,08:50,Brooks,Y,F,WS,37.5,389,7.68,18.65,1.57,36.65693089,62.70554325,12.17964114,9.449773104,1.301862866,-0.076649746,21.05862623,0.012,9608.605,6.733,3450.531,2394.81,0.104,0.615,0.251,15.36,8.536,0.063,0.292,1.029,1.142,0.284,0.422,131.969,0.004,6.195,0.003,0.019,-0.001,0.177,38.885,0.001,0,0.002,0.002,0,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.009,0.021,0,1.588023074
Mill Branch,WaDE_123,6/23/23,09:55,Brooks,Y,F,WS,21,189,7.55,17.44,2.235,20.52053611,31.7717908,4.477610308,1.956680453,0.207243097,-0.076649746,5.808697261,0.017,2521.57,6.657,5670.87,2155.836,0.11,0.196,0.089,17.54,35.513,0.066,0.411,0.33,0.443,0.203,0.137,62.959,0.004,0.151,0.002,0.004,0.003,0.03,21.413,0.002,0.001,0.006,0.005,0.001,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.006,0.025,0,0.017350335
EFK11.3,WaDE_124,6/23/23,10:22,Brooks,Y,F,WS,35,359,7.7,19.08,3.102,33.04943312,56.39834126,8.785601268,12.51512919,2.699608108,0.594923858,14.10850601,0.011,11197.196,5.452,3152.434,3157.692,0.136,0.578,0.182,9.718,17.399,0.075,0.607,1.366,3.258,0.272,0.485,107.612,0.003,5.885,0.003,0.019,0.018,0.227,27.618,0.001,0,0.003,0.002,0.001,0.006,0,0.006,0.001,0,0.001,0,0.001,0,0.007,0.049,0,0.718741216
EFK10.0,WaDE_125,6/23/23,11:11,Brooks,Y,F,WS,43,337,7.7,18.88,2.213,32.71731428,53.9216683,8.831746152,10.77809407,2.340348287,0.505380711,12.52611257,0.013,9692.924,7.892,3331.965,2899.845,0.153,0.566,0.176,13.022,16.351,0.079,2.503,1.149,3.172,0.275,0.326,100.46,0.003,4.916,0.002,0.019,0.016,0.202,29.227,0.001,0,0.002,0.002,0,0.005,0,0.005,0.001,0,0,0,0.001,0,0.007,0.041,0,0.586961247
Gum Hollow,WaDE_126,6/23/23,10:49,Brooks,Y,F,WS,47.5,239,7.74,17.75,2.174,25.78862809,43.65604849,5.312764704,1.763676552,0.201629662,-0.076649746,6.972221851,0.014,2444.169,7.86,5926.141,1871.34,0.112,0.237,0.04,30.442,23.196,0.066,0.586,0.247,-0.652,0.225,0.119,75.725,0.003,0.198,0.002,0.003,0,0.027,24.304,0.001,0.001,0.003,0.002,0,0.001,0,0.001,0.001,0,0,0,0,0,0.007,0.009,0,0.015223467
Pinhook Branch,WaDE_127,6/23/23,11:56,Brooks,Y,F,WS,37,236,7.79,18.78,1.812,24.43724797,40.60276515,5.870525461,2.183743867,0.207243097,-0.076649746,9.904303821,0.014,2990.201,25.484,5488.691,1951.059,0.096,0.158,0.024,20.641,13.234,0.059,0.838,0.386,-1.304,0.244,0.15,66.384,0.003,0.458,0.003,0.006,0.002,0.041,22.439,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0.017,0.007,0,0.029665099
