site_name,sample_id,sample_date,depth,medium,constituent,parameter,result_value,unit
EFK23.4,1001,5/12/23,0,WS,C,DOC,1.85,MG/L
EFK20.0,1002,5/12/23,0,WS,C,DOC,1.89,MG/L
Downtown,1003,5/12/23,0,WS,C,DOC,1.47,MG/L
EFK18.2,1004,5/12/23,0,WS,C,DOC,1.4,MG/L
EFK16.2,1005,5/12/23,0,WS,C,DOC,1.37,MG/L
Mill Branch,1006,5/12/23,0,WS,C,DOC,1.11,MG/L
EFK13.8,1007,5/12/23,0,WS,C,DOC,1.33,MG/L
EFK11.3,1008,5/12/23,0,WS,C,DOC,2.92,MG/L
EFK10.0,1009,5/12/23,0,WS,C,DOC,2.67,MG/L
Gum Hollow,1010,5/12/23,0,WS,C,DOC,1.06,MG/L
EFK7.9,1011,5/12/23,0,WS,C,DOC,2.35,MG/L
EFK5.4,1012,5/12/23,0,WS,C,DOC,2.41,MG/L
Bear Creek ,1013,5/12/23,0,WS,C,DOC,1.41,MG/L
EFK2.0,1014,5/12/23,0,WS,C,DOC,2,MG/L
EFK23.4,1001,5/12/23,0,WS,anions,Cl,23.15,MG/L
EFK20.0,1002,5/12/23,0,WS,anions,Cl,14.25,MG/L
Downtown,1003,5/12/23,0,WS,anions,Cl,9.02,MG/L
EFK18.2,1004,5/12/23,0,WS,anions,Cl,12.4,MG/L
EFK16.2,1005,5/12/23,0,WS,anions,Cl,12.09,MG/L
Mill Branch,1006,5/12/23,0,WS,anions,Cl,1.67,MG/L
EFK13.8,1007,5/12/23,0,WS,anions,Cl,10.63,MG/L
EFK11.3,1008,5/12/23,0,WS,anions,Cl,18.57,MG/L
EFK10.0,1009,5/12/23,0,WS,anions,Cl,16.38,MG/L
Gum Hollow,1010,5/12/23,0,WS,anions,Cl,1.48,MG/L
EFK7.9,1011,5/12/23,0,WS,anions,Cl,14.11,MG/L
EFK5.4,1012,5/12/23,0,WS,anions,Cl,13.81,MG/L
Bear Creek ,1013,5/12/23,0,WS,anions,Cl,5.67,MG/L
EFK2.0,1014,5/12/23,0,WS,anions,Cl,10.69,MG/L
EFK23.4,1001,5/12/23,0,WS,anions,NO3,3.18,MG/L
EFK20.0,1002,5/12/23,0,WS,anions,NO3,1.67,MG/L
Downtown,1003,5/12/23,0,WS,anions,NO3,0.68,MG/L
EFK18.2,1004,5/12/23,0,WS,anions,NO3,1.44,MG/L
EFK16.2,1005,5/12/23,0,WS,anions,NO3,1.24,MG/L
Mill Branch,1006,5/12/23,0,WS,anions,NO3,0.17,MG/L
EFK13.8,1007,5/12/23,0,WS,anions,NO3,1.07,MG/L
EFK11.3,1008,5/12/23,0,WS,anions,NO3,6.58,MG/L
EFK10.0,1009,5/12/23,0,WS,anions,NO3,6.31,MG/L
Gum Hollow,1010,5/12/23,0,WS,anions,NO3,0.18,MG/L
EFK7.9,1011,5/12/23,0,WS,anions,NO3,5.19,MG/L
EFK5.4,1012,5/12/23,0,WS,anions,NO3,4.48,MG/L
Bear Creek ,1013,5/12/23,0,WS,anions,NO3,0.59,MG/L
EFK2.0,1014,5/12/23,0,WS,anions,NO3,2.88,MG/L
EFK23.4,1001,5/12/23,0,WS,anions,PO4,0.2,MG/L
EFK20.0,1002,5/12/23,0,WS,anions,PO4,0.2,MG/L
Downtown,1003,5/12/23,0,WS,anions,PO4,0.2,MG/L
EFK18.2,1004,5/12/23,0,WS,anions,PO4,0.2,MG/L
EFK16.2,1005,5/12/23,0,WS,anions,PO4,0.2,MG/L
Mill Branch,1006,5/12/23,0,WS,anions,PO4,0.2,MG/L
EFK13.8,1007,5/12/23,0,WS,anions,PO4,0.2,MG/L
EFK11.3,1008,5/12/23,0,WS,anions,PO4,2.89,MG/L
